Name	RMSD	Prob	RMSD*Prob	RMSD+Prob
0	2.391	0.9975	2.385	3.3885
1	1.5228	0.9999	1.5226	2.5226
2	1.1663	0.9316	1.0865	2.0979
3	1.6268	0.8971	1.4594	2.5239
4	4.9539	1.0	4.9537	5.9538
5	3.7875	1.0	3.7873	4.7874
6	3.1377	1.0	3.1376	4.1377
7	1.6812	0.9999	1.6811	2.6812
8	3.2968	1.0	3.2967	4.2968
9	2.8217	1.0	2.8217	3.8217
10	3.0637	0.9892	3.0306	4.0529
11	3.6271	0.9999	3.6266	4.627
12	3.1306	0.9999	3.1304	4.1305
13	2.2674	1.0	2.2674	3.2674
14	4.4976	0.9996	4.496	5.4973
15	1.3989	0.9872	1.3809	2.3861
16	3.7269	0.9994	3.7246	4.7263
17	1.9934	1.0	1.9934	2.9934
18	3.3183	0.9906	3.2871	4.3089
19	2.4903	1.0	2.4902	3.4902
20	3.2235	0.9997	3.2227	4.2233
21	1.89	0.9931	1.8771	2.8832
22	2.9885	1.0	2.9883	3.9884
23	3.624	1.0	3.6239	4.624
24	3.364	0.9973	3.3548	4.3613
25	1.2138	1.0	1.2137	2.2137
26	2.4856	0.998	2.4807	3.4836
27	2.2045	0.9994	2.2032	3.2039
28	2.5521	0.9992	2.55	3.5513
29	1.9631	0.9993	1.9616	2.9623
30	5.5749	1.0	5.5749	6.5749
31	1.6501	0.9941	1.6404	2.6442
32	4.0752	1.0	4.0751	5.0751
33	2.5524	0.9963	2.5429	3.5487
34	1.7301	0.9996	1.7295	2.7298
35	1.8321	0.939	1.7203	2.7711
36	3.7412	0.9923	3.7125	4.7336
37	2.5304	0.9903	2.5058	3.5207
38	3.6273	0.9998	3.6265	4.6271
39	0.6293	0.6341	0.3991	1.2634
40	1.1819	0.999	1.1808	2.1809
41	2.3272	0.9936	2.3122	3.3208
42	2.7301	0.9998	2.7296	3.7299
43	3.3995	0.9976	3.3911	4.397
44	2.4954	1.0	2.4954	3.4954
45	5.193	0.9905	5.1438	6.1835
46	3.7718	1.0	3.7717	4.7718
47	4.8925	1.0	4.8925	5.8925
48	3.6523	0.9999	3.6519	4.6522
49	3.3577	0.9998	3.3571	4.3575
50	0.9766	0.9968	0.9735	1.9734
51	3.9617	1.0	3.9617	4.9617
52	3.2498	1.0	3.2498	4.2498
53	0.8435	0.9851	0.8309	1.8286
54	1.9221	0.9954	1.9133	2.9175
55	4.1217	0.9999	4.1214	5.1216
56	3.4075	0.9996	3.406	4.4071
57	1.0287	0.9972	1.0258	2.0259
58	0.9893	0.9179	0.9081	1.9072
59	1.3178	0.9986	1.316	2.3164
60	3.523	0.9999	3.5228	4.523
61	3.1411	0.999	3.1379	4.1401
62	1.7609	0.9077	1.5984	2.6686
63	1.044	0.955	0.9971	1.999
64	4.2342	1.0	4.234	5.2341
65	3.5227	0.9997	3.5216	4.5224
66	2.9575	0.9999	2.9573	3.9575
67	3.8028	0.9999	3.8024	4.8027
68	4.7485	1.0	4.7484	5.7485
69	1.862	0.6184	1.1514	2.4804
70	1.3359	0.4636	0.6193	1.7994
71	1.8359	0.9637	1.7692	2.7996
72	2.6851	0.9992	2.6828	3.6842
73	3.5402	0.9999	3.5398	4.5401
74	1.7807	0.9984	1.7779	2.7792
75	3.2445	1.0	3.2445	4.2445
76	2.888	1.0	2.8878	3.8879
77	3.3487	0.9993	3.3464	4.348
78	0.895	0.4073	0.3645	1.3023
79	2.7888	1.0	2.7888	3.7888
80	1.5933	0.9916	1.5799	2.5849
81	1.8975	0.9304	1.7654	2.8279
82	3.5154	1.0	3.5154	4.5154
83	3.8918	0.9998	3.8911	4.8916
84	2.52	0.9871	2.4875	3.5071
85	1.1835	0.9995	1.1829	2.183
86	3.6084	0.9999	3.6082	4.6083
87	3.4419	1.0	3.4418	4.4419
88	4.1817	1.0	4.1816	5.1817
89	3.7064	0.9998	3.7056	4.7062
90	2.1129	0.9999	2.1126	3.1127
91	3.5674	1.0	3.5674	4.5674
92	4.5852	1.0	4.5851	5.5851
93	2.0069	1.0	2.0069	3.0069
94	2.5431	0.9967	2.5346	3.5398
95	1.7383	0.7169	1.2461	2.4551
96	2.6339	0.9978	2.628	3.6316
97	0.8698	0.9952	0.8656	1.8649
98	2.3512	0.9999	2.3509	3.351
99	3.6879	1.0	3.6879	4.6879
100	3.6111	0.9994	3.6091	4.6105
101	3.858	1.0	3.858	4.858
102	1.973	0.9986	1.9702	2.9716
103	3.9631	0.9986	3.9575	4.9617
104	3.1575	1.0	3.1573	4.1574
105	2.8297	0.9986	2.8257	3.8283
106	3.4716	0.9997	3.4707	4.4714
107	2.913	1.0	2.9129	3.913
108	2.8936	0.9982	2.8883	3.8918
109	3.5266	1.0	3.5266	4.5266
110	2.2559	0.9995	2.2547	3.2553
111	3.1442	1.0	3.144	4.1441
112	2.2556	0.9976	2.2502	3.2532
113	3.2915	0.9985	3.2864	4.2899
114	3.5517	0.9997	3.5506	4.5514
115	1.6896	0.9589	1.6201	2.6485
116	2.1428	0.9993	2.1414	3.1422
117	1.5971	0.9999	1.597	2.597
118	5.588	1.0	5.5877	6.5879
119	3.286	1.0	3.2859	4.2859
120	1.0054	0.9017	0.9065	1.9071
121	2.3977	0.7988	1.9152	3.1965
122	0.7124	0.9955	0.7092	1.7079
123	2.9049	0.9995	2.9034	3.9044
124	4.3613	0.9991	4.3573	5.3604
125	1.7707	0.9903	1.7535	2.761
126	4.2475	1.0	4.2474	5.2474
127	3.3785	0.9999	3.3782	4.3784
128	3.1952	0.9995	3.1936	4.1947
129	3.9537	0.9999	3.9535	4.9536
130	2.7116	0.991	2.6873	3.7027
131	3.42	0.9992	3.4174	4.4193
132	3.5543	1.0	3.5543	4.5543
133	1.049	0.9992	1.0482	2.0482
134	1.6512	0.9707	1.6028	2.6219
135	2.3168	0.9663	2.2386	3.283
136	4.7547	0.99	4.7071	5.7447
137	2.879	0.9987	2.8751	3.8776
138	3.358	1.0	3.3579	4.3579
139	1.0025	0.9038	0.906	1.9062
140	4.1835	0.9999	4.1829	5.1833
141	2.6114	1.0	2.6113	3.6113
142	3.1729	1.0	3.1728	4.1729
143	3.2404	1.0	3.2404	4.2404
144	1.2725	0.2771	0.3526	1.5496
145	2.4647	0.9993	2.4629	3.464
146	2.5874	0.9997	2.5865	3.5871
147	3.3134	1.0	3.3134	4.3134
148	4.2787	1.0	4.2786	5.2786
149	3.1149	0.9967	3.1047	4.1116
150	2.063	0.9903	2.0429	3.0533
151	2.2029	0.9999	2.2026	3.2028
152	3.7872	0.9999	3.787	4.7871
153	4.5429	0.9999	4.5424	5.5428
154	0.4248	0.9657	0.4102	1.3904
155	5.7551	0.9999	5.7547	6.755
156	3.9596	1.0	3.9595	4.9596
157	2.9933	0.999	2.9901	3.9922
158	1.6852	0.9982	1.6821	2.6833
159	2.6409	0.9963	2.631	3.6371
160	2.2635	0.9999	2.2633	3.2634
161	4.1242	1.0	4.1241	5.1242
162	1.219	0.9996	1.2186	2.2186
163	2.3815	1.0	2.3815	3.3815
164	3.1913	0.9998	3.1907	4.1911
165	3.839	1.0	3.839	4.839
166	5.2028	0.9998	5.2018	6.2026
167	2.7239	0.9963	2.7138	3.7202
168	3.5847	0.9997	3.5838	4.5844
169	4.3079	1.0	4.3079	5.3079
170	3.1014	0.9667	2.9983	4.0682
171	2.2995	1.0	2.2994	3.2994
172	3.6946	0.9999	3.6943	4.6946
173	4.0818	0.9997	4.0805	5.0815
174	2.5075	0.9997	2.5066	3.5071
175	2.7562	0.9997	2.7554	3.7559
176	2.7212	0.9999	2.7208	3.7211
177	3.3815	0.9996	3.3803	4.3812
178	2.8662	1.0	2.8662	3.8662
179	2.2476	0.9973	2.2415	3.2448
180	5.0436	0.9999	5.0432	6.0435
181	1.9035	0.9997	1.9029	2.9032
182	3.0932	1.0	3.0932	4.0932
183	3.3078	0.9997	3.3068	4.3075
184	1.3379	0.9397	1.2573	2.2776
185	3.5368	1.0	3.5367	4.5368
186	3.7178	1.0	3.7178	4.7178
187	2.5865	0.9887	2.5574	3.5752
188	3.4806	0.9541	3.321	4.4347
189	3.2176	0.9975	3.2097	4.2151
190	2.987	0.9999	2.9868	3.9869
191	3.1934	0.9895	3.1599	4.1829
192	0.7837	0.9996	0.7834	1.7833
193	1.2186	0.9268	1.1294	2.1454
194	3.9483	1.0	3.9481	4.9482
195	4.6409	1.0	4.6409	5.6409
196	1.9435	0.3803	0.7392	2.3239
197	2.7218	0.8426	2.2933	3.5644
198	4.2016	0.9999	4.2012	5.2016
199	2.8544	0.9995	2.8531	3.854
200	3.1173	0.9919	3.0919	4.1092
201	2.2707	1.0	2.2707	3.2707
202	2.8902	1.0	2.8902	3.8902
203	2.9597	0.9999	2.9593	3.9596
204	3.055	1.0	3.0549	4.0549
205	0.5861	0.6811	0.3992	1.2672
206	4.0637	1.0	4.0636	5.0637
207	3.9137	1.0	3.9136	4.9137
208	1.834	0.9996	1.8333	2.8336
209	2.4271	0.9995	2.426	3.4266
210	3.5625	0.9999	3.5622	4.5624
211	2.2523	0.9998	2.2518	3.2521
212	3.996	1.0	3.996	4.996
213	4.3896	1.0	4.3896	5.3896
214	2.8155	0.9831	2.768	3.7986
215	2.7558	0.9992	2.7537	3.7551
216	1.2988	0.9892	1.2847	2.2879
217	1.0529	0.9688	1.0201	2.0217
218	4.0465	0.9998	4.0458	5.0464
219	2.3955	0.9995	2.3944	3.395
220	1.8863	0.9999	1.8862	2.8863
221	1.4043	0.9966	1.3996	2.4009
222	2.9566	0.9999	2.9563	3.9565
223	2.8232	0.9701	2.7387	3.7933
224	2.6213	0.9919	2.6001	3.6132
225	3.7822	1.0	3.7821	4.7822
226	3.4388	1.0	3.4388	4.4388
227	2.3811	0.9976	2.3754	3.3787
228	1.5068	0.8959	1.3499	2.4027
229	1.5976	0.9959	1.5911	2.5935
230	2.9499	0.9603	2.8328	3.9102
231	1.714	0.999	1.7123	2.713
